"언어","종류","게시판","idx","제목","카테고리","날짜","본문길이","이미지수","첨부수"
"ky","news","news_kg","33","ПОСТЕРДИК ДОКЛАДКА ТЕЗИСТЕРДИ КАБЫЛ АЛУУ ЖҮРҮП ЖАТАТ","Кулактандыруу","2024-03-28","2277","1","0"
"ky","news","news_kg","34","ПОСТЕРДИК ДОКЛАДКА ТЕЗИСТЕРДИ КАБЫЛ АЛУУ ЖҮРҮП ЖАТАТ (Тезистерди кабыл алуу мөөнөтү узартылды!)","Кулактандыруу","2024-04-13","610","1","0"
"ky","news","news_kg","35","5-Эл аралык медайымдар форуму","Кулактандыруу","2024-05-01","1522","1","1"
"ky","news","news_kg","37","Международный день медицинских сестер 2024","Кулактандыруу","2024-05-13","2215","6","0"
"ky","news","news_kg","38","Жаркын Кыргызстан-LUPIC 2024 Программа развития кафедры сестринского дела КГМА им. И.К.Ахунбаева Управление данными и анализ данных","Кулактандыруу","2024-06-05","417","1","0"
"ky","news","news_kg","39","Коллаборационные центры, Страновые офисы ВОЗ Европейского региона, КГМА им. И.К. Ахунбаева и проект Жаркын Кыргызстан-LUPIC","Кулактандыруу","2024-07-17","129","5","0"
"ky","news","news_kg","4","[Кулактандыруу] «Жаркын Кыргызстан»дын расмий сайты ачылды.","Кулактандыруу","2023-02-09","49","1","0"
"ky","news","news_kg","40","Международной конференции по развитию сестринской науки с участием экспертов коллаборационных центров ВОЗ","Кулактандыруу","2024-07-17","111","4","0"
"ky","news","news_kg","41","Кыргызская государственная медицинская академия вручила благодарственное письмо Университету Кёнхи по случаю 85-летия","Кулактандыруу","2024-09-11","2467","4","0"
"ky","news","news_kg","42","ПОСТЕРДИК ДОКЛАДКА ТЕЗИСТЕРДИ КАБЫЛ АЛУУ ЖҮРҮП ЖАТАТ","Кулактандыруу","2025-03-25","2919","4","0"
"ky","news","news_kg","43","VI Эл аралык медайымдык форуму","Кулактандыруу","2025-04-09","1633","1","0"
"ky","news","news_kg","44","ПОСТЕРДИК ДОКЛАДКА ТЕЗИСТЕРДИ КАБЫЛ АЛУУ ЖҮРҮП ЖАТАТ (Тезистерди кабыл алуу мөөнөтү узартылды!)","Кулактандыруу","2025-04-10","556","1","0"
"ky","news","news_kg","45","BK-LUPIC, 2025-жылдын май айы – Медайымдык билим берүүнү өнүктүрүүгө багытталган окутуучулар үчүн семинар","Кулактандыруу","2025-05-26","1379","11","0"
"ky","news","news_kg","46","Абстракттарды кабыл алуу жарыясы Медайымдардын 7-Эл аралык Форуму – 2026 «Чек арасыз медайымдык жана акушердик иш: тажрыйба, илим жана инновация»","Кулактандыруу","2026-02-23","1369","1","0"
"ky","news","news_kg","47","[Бардык каалоочулар үчүн ачык] VII Эл аралык медайымдык жана акушердик иш форум!","Кулактандыруу","2026-03-04","369","1","0"
"ky","news","news_kg","48","[Тезистерди тапшыруу мөөнөтү — узартылды!] VII Эл аралык медайымдык жана акушердик иш форум!","Кулактандыруу","2026-03-20","542","1","0"
"ky","news","news_kg","49","VII ЭЛ АРАЛЫК МЕДАЙЫМДЫК ЖАНА АКУШЕРДИК ИШ ФОРУМУ ДҮЙНӨЛҮК САЛАМАТТЫК САКТОО УЮМУНУН БОРБОРДУК АЗИЯДАГЫ МАМЛЕКЕТТИК БАШКЫ АДИСТЕРДИН КООРДИНАЦИЯЛЫК КЕҢЕШИ","Кулактандыруу","2026-04-10","5","1","0"
"ky","news","news_kg","5","[Кулактандыруу] Международная конференция 2019: Здоровье детей и сестринское образование [1]","Кулактандыруу","2023-02-09","5","1","0"
"ky","news","news_kg","50","[Бардык каалоочулар үчүн ачык] VII Эл аралык медайымдык жана акушердик иш форум!","Кулактандыруу","2026-04-21","471","1","0"
"ky","news","news_kg","6","[Кулактандыруу] 2019-чу жыл бою да биз менен бирге болуп, колдоп бериңиздер!","Кулактандыруу","2023-02-09","66","1","0"
"ky","news","news_kg","7","[Кулактандыруу] Көңул бурунуздар! Балдардын ден соолугун чыңдоо комплексинин аталышына сынак жарыяланат!","Кулактандыруу","2023-02-09","5","1","0"
"ky","news","news_kg","8","[Кулактандыруу] Жаш балдардын ден соолугун коргоо борборунда оюн-зоок мектебин уюштуруу ата-энелерди кабыл алуу","Кулактандыруу","2023-02-09","1253","1","0"
"ky","news","news_kg","9","[Кулактандыруу] Сиздерди жаш балдардын ден соолугун чындоо борборундагы оюн-зоок мектебинин программасына чакырабыз!","Кулактандыруу","2023-02-09","5","2","0"
"ru","news","news_ru","10","[Доска обьявлений] Будьте с нами и в 2019 году!","Доска объявлений","2023-02-10","35","1","0"
"ru","news","news_ru","11","[Доска обьявлений] Көңул бурунуздар! Балдардын ден соолугун чыңдоо комплексинин аталышына сынак жарыяланат!","Доска объявлений","2023-02-10","6","1","0"
"ru","news","news_ru","12","[Доска обьявлений] Жаш балдардын ден соолугун коргоо борборунда оюн-зоок мектебин уюштуруу ата-энелерди кабыл алуу","Доска объявлений","2023-02-10","1253","1","0"
"ru","news","news_ru","13","[Доска обьявлений] Сиздерди жаш балдардын ден соолугун чындоо борборундагы оюн-зоок мектебинин программасына чакырабыз!","Доска объявлений","2023-02-10","6","2","0"
"ru","news","news_ru","14","[Доска обьявлений] Международная конференция 2019: Здоровье детей и сестринское образование","Доска объявлений","2023-02-10","6","1","0"
"ru","news","news_ru","15","[Доска обьявлений] Ак-Ордо & Ак-Өргө жаңы конушундагы ата-энелердин арасында макала жазуу сынагы","Доска объявлений","2023-02-10","6","1","0"
"ru","news","news_ru","16","[Доска обьявлений] Ден соолук сынагын утурлай фотосурөт жана текст сынагы","Доска объявлений","2023-02-10","6","1","0"
"ru","news","news_ru","17","[Доска обьявлений] Ден соолук жумалыгы","Доска объявлений","2023-02-10","96","1","0"
"ru","news","news_ru","18","[Доска обьявлений] СпасибоМедсестрам","Доска объявлений","2023-02-10","225","0","0"
"ru","news","news_ru","19","[Доска обьявлений] набор респондентор для опроса в исслеловании по улучшению политики сестринского образования в Кыргызской Республике","Доска объявлений","2023-02-10","684","1","0"
"ru","news","news_ru","20","Проект BK – LUPIC приветствует всех вас!","Зарубежные издательства","2023-02-10","378","3","0"
"ru","news","news_ru","21","[Доска обьявлений] Сегодня мы хотим поздравить всех медсестер с их профессиональным праздником - Международным днем медсестры.","Доска объявлений","2023-02-10","376","1","0"
"ru","news","news_ru","22","[Доска обьявлений] примите участие в опросе медсестёр","Доска объявлений","2023-02-10","888","2","0"
"ru","news","news_ru","23","[Доска обьявлений] Итоги 2022 года жаркын кыргызстан","Доска объявлений","2023-02-10","6","3","0"
"ru","news","news_ru","24","[Доска обьявлений] Четвертая Образовательная сессия “Внедрение и планирование эффективной стратегии информационной системы здравоохранения в Кыргызской Республике”","Доска объявлений","2023-03-29","308","2","0"
"ru","news","news_ru","25","[Доска обьявлений] Пятая Образовательная сессия 'Программа подготовки бакалавров по направлению Сестринское дело '","Доска объявлений","2023-03-29","308","2","0"
"ru","news","news_ru","27","Международный день медсестёр 2023","Доска объявлений","2023-05-12","1341","2","0"
"ru","news","news_ru","28","международный форум 'Карьерный рост и лидерство в сестринском деле'","Доска объявлений","2023-05-30","1070","1","0"
"ru","news","news_ru","29","ВЕДЕТСЯ НАБОР ТЕЗИСОВ на постерные (стендовые) доклады (Прием на тезисов продлен!)","Доска объявлений","2023-05-30","2473","1","0"
"ru","news","news_ru","31","[Местные СМИ] Официальное утверждение введения бакалавриата и магистратуры по сестринскому делу и акушерству в Кыргызской Республике","Доска объявлений","2023-06-16","1208","4","0"
"ru","news","news_ru","32","ВЕДЕТСЯ НАБОР ТЕЗИСОВ на постерные (стендовые) доклады","Доска объявлений","2024-03-28","2242","1","0"
"ru","news","news_ru","33","ВЕДЕТСЯ НАБОР ТЕЗИСОВ на постерные (стендовые) доклады (Прием на тезисов продлен!)","Доска объявлений","2024-04-13","611","1","0"
"ru","news","news_ru","34","5-й Международный форум по сестринскому делу","Доска объявлений","2024-05-01","1534","1","1"
"ru","news","news_ru","35","Международный день медицинских сестер 2024","Доска объявлений","2024-05-13","2216","6","0"
"ru","news","news_ru","36","Жаркын Кыргызстан-LUPIC 2024 Программа развития кафедры сестринского дела КГМА им. И.К.Ахунбаева Управление данными и анализ данных","Доска объявлений","2024-06-05","418","1","0"
"ru","news","news_ru","38","Коллаборационные центры, Страновые офисы ВОЗ Европейского региона, КГМА им. И.К. Ахунбаева и проект Жаркын Кыргызстан-LUPIC","Доска объявлений","2024-07-17","130","5","0"
"ru","news","news_ru","39","Международной конференции по развитию сестринской науки с участием экспертов коллаборационных центров ВОЗ","Доска объявлений","2024-07-17","112","4","0"
"ru","news","news_ru","4","[Доска обьявлений] Жаркын Кыргызстан: Кыргызстан, Бишкек шаарынын жаны конуштагы балдардын ден соолугун чындоо (жакшыртуу) долбоорунун жаныдан башталышы.","Доска объявлений","2023-02-10","141","2","0"
"ru","news","news_ru","40","Кыргызская государственная медицинская академия вручила благодарственное письмо Университету Кёнхи по случаю 85-летия","Доска объявлений","2024-09-11","2468","3","0"
"ru","news","news_ru","41","Программа обучения в Корее (2025.02.10. - 2025.02.14.)","Доска объявлений","2025-02-24","252","0","1"
"ru","news","news_ru","42","ПРИЁМ ТЕЗИСОВ ДЛЯ ПОСТЕРНЫХ ДОКЛАДОВ!","Доска объявлений","2025-03-25","2746","4","0"
"ru","news","news_ru","43","VI Международный форум по сестринскому делу","Доска объявлений","2025-04-09","1513","1","1"
"ru","news","news_ru","44","ВЕДЕТСЯ НАБОР ТЕЗИСОВ на постерные (стендовые) доклады (Прием на тезисов продлен!)","Доска объявлений","2025-04-10","515","1","0"
"ru","news","news_ru","45","Факультетский семинар BK-LUPIC, май 2025 года: Инновационное и стратегическое развитие сестринского образования в Кыргызской Республике","Доска объявлений","2025-05-26","1355","11","0"
"ru","news","news_ru","46","Представление проекта Жаркын Кыргызстан","Доска объявлений","2025-09-17","6","0","0"
"ru","news","news_ru","47","Объявление о приёме тезисов 7-й Международный форум по сестринскому делу – 2026 «Сестринское дело и акушерство без границ: опыт, наука и инновации»","Доска объявлений","2026-02-23","1272","1","0"
"ru","news","news_ru","48","[Открыто для всех желающих] VII МЕЖДУНАРОДНЫЙ ФОРУМ СЕСТРИНСКОГО И АКУШЕРСКОГО ДЕЛА!","Доска объявлений","2026-03-04","381","1","0"
"ru","news","news_ru","49","[Дедлайн подачи тезисов — продлён!] 7-й Международный форум по сестринскому делу – 2026 «Сестринское дело и акушерство без границ: опыт, наука и инновации»","Доска объявлений","2026-03-20","470","1","0"
"ru","news","news_ru","5","[Доска обьявлений] GLP( “Эл аралык саламаттыкты сактоо программасы) алкагында 7","Доска объявлений","2023-02-10","1997","0","0"
